2017/10/19 13:31:43 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: Loading user properties from: D:\apache-jmeter-2.13\bin\user.properties 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: Loading system properties from: E:\DEV\clojure\israel\shelters\system.properties 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: java.version=1.8.0_144 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: os.name=Windows 10 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: os.arch=amd64 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: os.version=10.0 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: JMeterHome=D:\apache-jmeter-2.13 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: user.dir  =E:\DEV\clojure\israel\shelters 
2017/10/19 13:31:45 INFO  - jmeter.JMeter: PWD       =E:\DEV\clojure\israel\shelters 
2017/10/19 13:31:49 INFO  - jmeter.JMeter: IP: 192.168.56.1 Name: DESKTOP-MK8PJGE FullName: DESKTOP-MK8PJGE 
2017/10/19 13:31:49 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/10/19 13:31:49 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/10/19 13:31:52 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/10/19 13:31:52 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/10/19 13:31:54 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2017/10/19 13:31:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2017/10/19 13:31:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2017/10/19 13:31:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2017/10/19 13:31:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2017/10/19 13:31:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2017/10/19 13:31:54 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/10/19 13:31:54 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2017/10/19 13:31:55 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2017/10/19 13:31:58 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2017/10/19 13:31:58 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file D:\apache-jmeter-2.13\bin\proxyserver.jks 
2017/10/19 13:31:59 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/10/19 13:31:59 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/10/19 13:31:59 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/10/19 13:31:59 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/10/19 13:34:19 INFO  - jmeter.services.FileServer: Default base='E:\DEV\clojure\israel\shelters' 
2017/10/19 13:34:19 INFO  - jmeter.gui.action.Load: Loading file: E:\DEV\clojure\zerohedgecl\doc\StressTest.jmx 
2017/10/19 13:34:19 INFO  - jmeter.services.FileServer: Set new base='E:\DEV\clojure\zerohedgecl\doc' 
2017/10/19 13:34:20 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/10/19 13:34:20 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/10/19 13:34:20 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2017/10/19 13:34:20 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2017/10/19 13:34:20 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/10/19 13:34:20 INFO  - jmeter.save.SaveService: Loading file: E:\DEV\clojure\zerohedgecl\doc\StressTest.jmx 
2017/10/19 13:34:21 INFO  - jmeter.services.FileServer: Set new base='E:\DEV\clojure\zerohedgecl\doc' 
2017/10/19 13:35:05 INFO  - jmeter.services.FileServer: Set new base='E:\DEV\clojure\israel\shelters\docs' 
